idarticulo;descripcion;referencia;codigoalfanumerico;codigobarra;estado;observacion;idmarca;idlinea;idseccion;idtipo;idunidad;idimpuesto
1;HARINA DE TRIGO 1 KG TIPO 000;;1;;A;;1;1;1;2;1;2
2;HARINA DE TRIGO 1 KG 0000;;2;;A;;1;2;1;2;1;2
3;HARINA DE TRIGO 5 KG 000;;3;;A;;1;1;1;2;1;2
4;HARINA DE TRIGO 5 KG 0000;;4;;A;;1;2;1;2;1;2
5;HARINA DE TRIGO 50 KG 000 PANADERA;;5;;A;;1;1;1;2;1;2
6;HARINA DE TRIGO 50 KG 0000;;6;;A;;1;2;1;2;1;2
7;HARINA DE TRIGO 50 KG 000 FIDERA;;7;;A;;1;1;1;2;1;2
8;AFRECHO DE TRIGO DE 30 KG;;8;;A;;2;3;1;2;1;2
9;HARINA INTEGRAL DE 30 KG;;9;;A;;1;6;1;2;1;2
10;HARINA SALVADO DE 25 KG;;10;;A;;1;7;1;2;1;2
11;VITAMINA P/ HARINA;;11;;A;;3;4;1;1;1;3
12;OXIBLAN;;12;;A;;3;4;1;1;1;3
13;REFORTEN PREMIUN ECO;;13;;A;;3;4;1;1;1;3
14;GASOIL;;14;;A;;10;4;1;4;1;1
15;TRIGO A GRANEL;;15;;A;;3;4;1;1;1;2
16;BOLSAS DE PANADERA 50 KG;;16;;A;;4;1;1;1;1;3
17;ENVASES DE 5 KG 000;;17;;A;;4;1;1;1;1;3
18;SERVICIO FLETE   SOJA;;18;;A;;3;4;1;4;1;3
19;HARINA TIPO 000 A GRANEL;;19;;A;;1;1;1;2;1;2
20;HARINA TIPO 0000 A GRANEL;;20;;A;;1;2;1;2;1;2
21;BOLSAS DE 50 KG 0000;;21;;A;;4;2;1;1;1;3
22;ENVASES DE 5 KG 0000;;22;;A;;4;2;1;1;1;3
23;ENVASES DE 1 KG 000;;23;;A;;4;1;1;1;1;3
24;ENVASES DE 1 KG 0000;;24;;A;;4;2;1;1;1;3
25;BOLSAS DE 30 KG HARINA INTEGRAL;;25;;A;;4;6;1;1;1;3
26;BOLSAS DE AFRECHO 30 KG;;26;;A;;4;3;1;1;1;3
27;BOLSAS DE FIDERA 50 KG;;27;;A;;4;1;1;1;1;3
28;CAMPERAS DE AGRO ECO;;28;;A;;3;4;1;4;1;3
29;BOLSAS DE 25 KG HARINA SALVADO;;29;;A;;4;7;1;1;1;3
30;CUBIERTAS;;30;;A;;3;4;1;1;1;3
31;SERVICIO DE MOLIENDA;;31;;A;;3;4;1;4;1;3
32;AFRECHO A GRANEL;;32;;A;;2;3;1;2;1;3
33;HARINA INTEGRAL A GRANEL;;33;;A;;1;6;1;2;1;2
34;HARINA SALVADO A GRANEL;;34;;A;;1;7;1;2;1;2
35;TRIGO 2014;;35;;A;;3;4;1;1;1;1
36;TRIGUILLO 2014;;36;;A;;3;4;1;1;1;1
37;HARINA 50 KG 000 RAYOS DEL SOL;;37;;A;;1;1;1;2;1;2
38;AFRECHO 30 KG RAYOS DEL SOL;;38;;A;;2;3;1;2;1;3
39;SEMOLIN  50 KG;;39;;A;;1;2;1;2;1;2
40;BOLSAS DE SEMOLIN 50 KG;;40;;A;;4;2;1;1;1;3
41;COPALMIX LEUDANTE;;41;;A;;3;4;1;1;1;3
